Emotions,Path
Anger,EmoDSc_Silenciados\471.wav
Fear,EmoDSc_Silenciados\472.wav
Anger,EmoDSc_Silenciados\473.wav
Fear,EmoDSc_Silenciados\474.wav
Surprise,EmoDSc_Silenciados\475.wav
Fear,EmoDSc_Silenciados\476.wav
Disgust,EmoDSc_Silenciados\477.wav
Fear,EmoDSc_Silenciados\478.wav
Sadness,EmoDSc_Silenciados\479.wav
Anger,EmoDSc_Silenciados\480.wav
Fear,EmoDSc_Silenciados\481.wav
Happiness,EmoDSc_Silenciados\482.wav
Sadness,EmoDSc_Silenciados\483.wav
Sadness,EmoDSc_Silenciados\484.wav
Neutral,EmoDSc_Silenciados\485.wav
Happiness,EmoDSc_Silenciados\486.wav
Anger,EmoDSc_Silenciados\487.wav
Anger,EmoDSc_Silenciados\488.wav
Surprise,EmoDSc_Silenciados\489.wav
Happiness,EmoDSc_Silenciados\490.wav
Fear,EmoDSc_Silenciados\491.wav
Happiness,EmoDSc_Silenciados\492.wav
Happiness,EmoDSc_Silenciados\493.wav
Sadness,EmoDSc_Silenciados\494.wav
Anger,EmoDSc_Silenciados\495.wav
Disgust,EmoDSc_Silenciados\496.wav
Neutral,EmoDSc_Silenciados\497.wav
Sadness,EmoDSc_Silenciados\498.wav
Fear,EmoDSc_Silenciados\499.wav
Anger,EmoDSc_Silenciados\500.wav
Anger,EmoDSc_Silenciados\501.wav
Sadness,EmoDSc_Silenciados\502.wav
Sadness,EmoDSc_Silenciados\503.wav
Anger,EmoDSc_Silenciados\504.wav
Fear,EmoDSc_Silenciados\505.wav
Happiness,EmoDSc_Silenciados\506.wav
Disgust,EmoDSc_Silenciados\507.wav
Disgust,EmoDSc_Silenciados\508.wav
Neutral,EmoDSc_Silenciados\509.wav
Neutral,EmoDSc_Silenciados\510.wav
Surprise,EmoDSc_Silenciados\511.wav
Anger,EmoDSc_Silenciados\512.wav
Sadness,EmoDSc_Silenciados\513.wav
Surprise,EmoDSc_Silenciados\514.wav
Fear,EmoDSc_Silenciados\515.wav
Disgust,EmoDSc_Silenciados\516.wav
Disgust,EmoDSc_Silenciados\517.wav
Sadness,EmoDSc_Silenciados\518.wav
Sadness,EmoDSc_Silenciados\519.wav
Fear,EmoDSc_Silenciados\520.wav
Fear,EmoDSc_Silenciados\521.wav
Happiness,EmoDSc_Silenciados\522.wav
Neutral,EmoDSc_Silenciados\523.wav
Sadness,EmoDSc_Silenciados\524.wav
Neutral,EmoDSc_Silenciados\525.wav
Disgust,EmoDSc_Silenciados\526.wav
Happiness,EmoDSc_Silenciados\527.wav
Surprise,EmoDSc_Silenciados\528.wav
Happiness,EmoDSc_Silenciados\529.wav
Fear,EmoDSc_Silenciados\530.wav
Disgust,EmoDSc_Silenciados\531.wav
Disgust,EmoDSc_Silenciados\532.wav
Fear,EmoDSc_Silenciados\533.wav
Anger,EmoDSc_Silenciados\534.wav
Neutral,EmoDSc_Silenciados\535.wav
Disgust,EmoDSc_Silenciados\536.wav
Sadness,EmoDSc_Silenciados\537.wav
Neutral,EmoDSc_Silenciados\538.wav
Fear,EmoDSc_Silenciados\539.wav
Happiness,EmoDSc_Silenciados\540.wav
Disgust,EmoDSc_Silenciados\541.wav
Happiness,EmoDSc_Silenciados\542.wav
Neutral,EmoDSc_Silenciados\543.wav
Neutral,EmoDSc_Silenciados\544.wav
Neutral,EmoDSc_Silenciados\545.wav
Sadness,EmoDSc_Silenciados\546.wav
Surprise,EmoDSc_Silenciados\547.wav
Disgust,EmoDSc_Silenciados\548.wav
Sadness,EmoDSc_Silenciados\549.wav
Neutral,EmoDSc_Silenciados\550.wav
Surprise,EmoDSc_Silenciados\551.wav
Happiness,EmoDSc_Silenciados\552.wav
Surprise,EmoDSc_Silenciados\553.wav
Happiness,EmoDSc_Silenciados\554.wav
Fear,EmoDSc_Silenciados\555.wav
Happiness,EmoDSc_Silenciados\556.wav
Neutral,EmoDSc_Silenciados\557.wav
Surprise,EmoDSc_Silenciados\558.wav
Disgust,EmoDSc_Silenciados\559.wav
Fear,EmoDSc_Silenciados\560.wav
Neutral,EmoDSc_Silenciados\561.wav
Happiness,EmoDSc_Silenciados\562.wav
Anger,EmoDSc_Silenciados\563.wav
Sadness,EmoDSc_Silenciados\564.wav
Happiness,EmoDSc_Silenciados\565.wav
Surprise,EmoDSc_Silenciados\566.wav
Neutral,EmoDSc_Silenciados\567.wav
Sadness,EmoDSc_Silenciados\568.wav
Neutral,EmoDSc_Silenciados\569.wav
Surprise,EmoDSc_Silenciados\570.wav
Anger,EmoDSc_Silenciados\571.wav
Surprise,EmoDSc_Silenciados\572.wav
Fear,EmoDSc_Silenciados\573.wav
Sadness,EmoDSc_Silenciados\574.wav
Sadness,EmoDSc_Silenciados\575.wav
Anger,EmoDSc_Silenciados\576.wav
Sadness,EmoDSc_Silenciados\577.wav
Anger,EmoDSc_Silenciados\578.wav
Surprise,EmoDSc_Silenciados\579.wav
Surprise,EmoDSc_Silenciados\580.wav
Happiness,EmoDSc_Silenciados\581.wav
Disgust,EmoDSc_Silenciados\582.wav
Happiness,EmoDSc_Silenciados\583.wav
Sadness,EmoDSc_Silenciados\584.wav
Happiness,EmoDSc_Silenciados\585.wav
Anger,EmoDSc_Silenciados\586.wav
Fear,EmoDSc_Silenciados\587.wav
Happiness,EmoDSc_Silenciados\588.wav
Neutral,EmoDSc_Silenciados\589.wav
Neutral,EmoDSc_Silenciados\590.wav
Surprise,EmoDSc_Silenciados\591.wav
Sadness,EmoDSc_Silenciados\592.wav
Happiness,EmoDSc_Silenciados\593.wav
Sadness,EmoDSc_Silenciados\594.wav
Disgust,EmoDSc_Silenciados\595.wav
Disgust,EmoDSc_Silenciados\596.wav
Surprise,EmoDSc_Silenciados\597.wav
Neutral,EmoDSc_Silenciados\598.wav
Disgust,EmoDSc_Silenciados\599.wav
Happiness,EmoDSc_Silenciados\600.wav
Fear,EmoDSc_Silenciados\601.wav
Disgust,EmoDSc_Silenciados\602.wav
Happiness,EmoDSc_Silenciados\603.wav
Anger,EmoDSc_Silenciados\604.wav
Surprise,EmoDSc_Silenciados\605.wav
Surprise,EmoDSc_Silenciados\606.wav
Neutral,EmoDSc_Silenciados\607.wav
Happiness,EmoDSc_Silenciados\608.wav
Fear,EmoDSc_Silenciados\609.wav
Disgust,EmoDSc_Silenciados\610.wav
Disgust,EmoDSc_Silenciados\611.wav
Surprise,EmoDSc_Silenciados\612.wav
Neutral,EmoDSc_Silenciados\613.wav
Disgust,EmoDSc_Silenciados\614.wav
Fear,EmoDSc_Silenciados\615.wav
