Emotions,Path
Fear,Datasets\CREMA-D\1013_MTI_FEA_XX.wav
Disgust,Datasets\RAVDESS\Actor_11\03-01-07-02-02-01-11.wav
Fear,Datasets\CREMA-D\1021_ITH_FEA_XX.wav
Sadness,Datasets\TESS\YAF_sad\YAF_bean_sad.wav
Disgust,Datasets\RAVDESS\Actor_04\03-01-07-02-01-02-04.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001440.wav
Anger,Datasets\ESD\0018\Angry\0018_000601.wav
Surprise,Datasets\ESD\0020\Surprise\0020_001703.wav
Disgust,Datasets\CREMA-D\1088_TSI_DIS_XX.wav
Anger,Datasets\CREMA-D\1010_IEO_ANG_HI.wav
Fear,Datasets\TESS\YAF_fear\YAF_boat_fear.wav
Sadness,Datasets\TESS\YAF_sad\YAF_make_sad.wav
Fear,Datasets\CREMA-D\1039_ITH_FEA_XX.wav
Disgust,Datasets\RAVDESS\Actor_20\03-01-07-01-01-02-20.wav
Fear,Datasets\TESS\OAF_Fear\OAF_tell_fear.wav
Happiness,Datasets\JL\male2_happy_2a_2.wav
Happiness,Datasets\SAVEE\DC\h13.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001620.wav
Sadness,Datasets\CREMA-D\1054_IEO_SAD_LO.wav
Fear,Datasets\CREMA-D\1036_ITH_FEA_XX.wav
Fear,Datasets\CREMA-D\1046_TSI_FEA_XX.wav
Neutral,Datasets\CREMA-D\1049_TIE_NEU_XX.wav
Fear,Datasets\SAVEE\KL\f01.wav
Sadness,Datasets\ESD\0012\Sad\0012_001067.wav
Happiness,Datasets\ESD\0011\Happy\0011_000942.wav
Surprise,Datasets\ESD\0011\Surprise\0011_001484.wav
Anger,Datasets\SAVEE\JK\a15.wav
Neutral,Datasets\TESS\OAF_neutral\OAF_sail_neutral.wav
Fear,Datasets\TESS\YAF_fear\YAF_cab_fear.wav
Neutral,Datasets\ESD\0012\Neutral\0012_000302.wav
Sadness,Datasets\JL\female2_sad_12a_2.wav
Disgust,Datasets\CREMA-D\1027_IWL_DIS_XX.wav
Fear,Datasets\RAVDESS-SONG\Actor_14\03-02-06-02-01-02-14.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001739.wav
Happiness,Datasets\ESD\0015\Happy\0015_000843.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000228.wav
Anger,Datasets\ESD\0013\Angry\0013_000566.wav
Disgust,Datasets\TESS\YAF_disgust\YAF_hall_disgust.wav
Anger,Datasets\CREMA-D\1081_IEO_ANG_HI.wav
Fear,Datasets\ASVP\ASVP5\03-01-06-02-43-57-02-02-02-16.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-01-22-60-02-02-02.wav
Surprise,Datasets\ESD\0012\Surprise\0012_001479.wav
Neutral,Datasets\CREMA-D\1026_WSI_NEU_XX.wav
Happiness,Datasets\ESD\0013\Happy\0013_001024.wav
Sadness,Datasets\ESD\0017\Sad\0017_001269.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000154.wav
Disgust,Datasets\TESS\YAF_disgust\YAF_gin_disgust.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000105.wav
Anger,Datasets\CREMA-D\1049_TIE_ANG_XX.wav
Happiness,Datasets\CREMA-D\1023_IEO_HAP_MD.wav
Fear,Datasets\RAVDESS-SONG\Actor_24\03-02-06-02-02-02-24.wav
Anger,Datasets\ESD\0016\Angry\0016_000694.wav
Fear,Datasets\RAVDESS\Actor_17\03-01-06-02-01-02-17.wav
Anger,Datasets\CREMA-D\1074_TIE_ANG_XX.wav
Sadness,Datasets\JL\female1_sad_12b_2.wav
Anger,Datasets\ASVP\ASVP5\03-01-05-02-13-69-02-02-02.wav
Surprise,Datasets\ESD\0016\Surprise\0016_001443.wav
Fear,Datasets\CREMA-D\1075_MTI_FEA_XX.wav
Sadness,Datasets\CREMA-D\1003_IWL_SAD_XX.wav
Happiness,Datasets\ESD\0015\Happy\0015_001032.wav
Disgust,Datasets\CREMA-D\1021_ITH_DIS_XX.wav
Disgust,Datasets\CREMA-D\1083_ITH_DIS_XX.wav
Anger,Datasets\ESD\0020\Angry\0020_000351.wav
Happiness,Datasets\ESD\0012\Happy\0012_000914.wav
Anger,Datasets\JL\male2_angry_4b_2.wav
Disgust,Datasets\SAVEE\KL\d10.wav
Fear,Datasets\RAVDESS\Actor_10\03-01-06-02-01-01-10.wav
Sadness,Datasets\CREMA-D\1059_ITS_SAD_XX.wav
Fear,Datasets\CREMA-D\1001_WSI_FEA_XX.wav
Neutral,Datasets\TESS\OAF_neutral\OAF_dodge_neutral.wav
Happiness,Datasets\ESD\0017\Happy\0017_000744.wav
Fear,Datasets\ASVP\ASVP5\03-01-06-02-03-85-02-02.wav
Sadness,Datasets\ESD\0012\Sad\0012_001359.wav
Anger,Datasets\ESD\0020\Angry\0020_000356.wav
Neutral,Datasets\RAVDESS-SONG\Actor_12\03-02-02-02-02-02-12.wav
Disgust,Datasets\RAVDESS\Actor_23\03-01-07-02-01-01-23.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000244.wav
Fear,Datasets\RAVDESS\Actor_11\03-01-06-02-02-02-11.wav
Happiness,Datasets\ESD\0013\Happy\0013_000741.wav
Sadness,Datasets\CREMA-D\1066_DFA_SAD_XX.wav
Fear,Datasets\CREMA-D\1015_IEO_FEA_MD.wav
Neutral,Datasets\SAVEE\JK\n26.wav
Anger,Datasets\ESD\0013\Angry\0013_000584.wav
Neutral,Datasets\ESD\0012\Neutral\0012_000272.wav
Sadness,Datasets\ESD\0011\Sad\0011_001387.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000031.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001640.wav
Disgust,Datasets\TESS\OAF_disgust\OAF_dog_disgust.wav
Neutral,Datasets\ESD\0016\Neutral\0016_000188.wav
Fear,Datasets\RAVDESS-SONG\Actor_12\03-02-06-02-01-01-12.wav
Fear,Datasets\RAVDESS-SONG\Actor_07\03-02-06-01-01-02-07.wav
Happiness,Datasets\ESD\0020\Happy\0020_000980.wav
Fear,Datasets\CREMA-D\1042_TIE_FEA_XX.wav
Anger,Datasets\CREMA-D\1005_MTI_ANG_XX.wav
Sadness,Datasets\ESD\0014\Sad\0014_001177.wav
Anger,Datasets\ESD\0018\Angry\0018_000419.wav
Fear,Datasets\RAVDESS-SONG\Actor_21\03-02-06-01-01-01-21.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001707.wav
Disgust,Datasets\CREMA-D\1048_ITS_DIS_XX.wav
Surprise,Datasets\ESD\0012\Surprise\0012_001748.wav
Fear,Datasets\CREMA-D\1089_IWL_FEA_XX.wav
Sadness,Datasets\ESD\0016\Sad\0016_001291.wav
Fear,Datasets\RAVDESS\Actor_04\03-01-06-01-02-01-04.wav
Sadness,Datasets\RAVDESS-SONG\Actor_01\03-02-04-01-01-02-01.wav
Disgust,Datasets\CREMA-D\1066_TSI_DIS_XX.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-01-03-114-02-02-02-12.wav
Fear,Datasets\CREMA-D\1015_IWL_FEA_XX.wav
Sadness,Datasets\CREMA-D\1091_IEO_SAD_MD.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-02-27-56-02-02-02-05.wav
Disgust,Datasets\CREMA-D\1007_IWW_DIS_XX.wav
Happiness,Datasets\TESS\OAF_happy\OAF_perch_happy.wav
Fear,Datasets\CREMA-D\1062_IEO_FEA_MD.wav
Surprise,Datasets\ESD\0011\Surprise\0011_001666.wav
Neutral,Datasets\ESD\0017\Neutral\0017_000194.wav
Fear,Datasets\CREMA-D\1039_IEO_FEA_MD.wav
Surprise,Datasets\ASVP\ASVP5\03-01-08-01-21-43-02-02-02.wav
Neutral,Datasets\SAVEE\JE\n28.wav
Surprise,Datasets\SAVEE\DC\su14.wav
Sadness,Datasets\CREMA-D\1012_WSI_SAD_XX.wav
Anger,Datasets\ESD\0011\Angry\0011_000691.wav
Anger,Datasets\ESD\0013\Angry\0013_000373.wav
Anger,Datasets\ESD\0019\Angry\0019_000647.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000287.wav
Disgust,Datasets\CREMA-D\1037_WSI_DIS_XX.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001432.wav
Disgust,Datasets\CREMA-D\1011_TIE_DIS_XX.wav
Sadness,Datasets\JL\male2_sad_13b_1.wav
Fear,Datasets\TESS\OAF_Fear\OAF_ditch_fear.wav
Anger,Datasets\ESD\0016\Angry\0016_000414.wav
Fear,Datasets\CREMA-D\1036_IEO_FEA_MD.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001599.wav
Anger,Datasets\ESD\0016\Angry\0016_000386.wav
Anger,Datasets\ESD\0012\Angry\0012_000372.wav
Anger,Datasets\ESD\0014\Angry\0014_000671.wav
Anger,Datasets\SAVEE\JK\a05.wav
Disgust,Datasets\RAVDESS\Actor_05\03-01-07-02-01-02-05.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001713.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001446.wav
Fear,Datasets\RAVDESS-SONG\Actor_13\03-02-06-02-02-01-13.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001496.wav
Anger,Datasets\ESD\0011\Angry\0011_000397.wav
Anger,Datasets\ESD\0018\Angry\0018_000410.wav
Sadness,Datasets\ESD\0015\Sad\0015_001312.wav
Disgust,Datasets\CREMA-D\1058_IEO_DIS_LO.wav
Surprise,Datasets\TESS\YAF_pleasant_surprised\YAF_have_ps.wav
Disgust,Datasets\SAVEE\JE\d10.wav
Neutral,Datasets\ESD\0012\Neutral\0012_000281.wav
Anger,Datasets\ESD\0019\Angry\0019_000566.wav
Happiness,Datasets\ESD\0012\Happy\0012_000879.wav
Anger,Datasets\CREMA-D\1068_DFA_ANG_XX.wav
Sadness,Datasets\ESD\0011\Sad\0011_001212.wav
Anger,Datasets\ESD\0017\Angry\0017_000411.wav
Fear,Datasets\CREMA-D\1069_ITS_FEA_XX.wav
Happiness,Datasets\ESD\0013\Happy\0013_000734.wav
Happiness,Datasets\CREMA-D\1075_IWL_HAP_XX.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001633.wav
Neutral,Datasets\ESD\0018\Neutral\0018_000022.wav
Neutral,Datasets\RAVDESS-SONG\Actor_16\03-02-01-01-02-02-16.wav
Happiness,Datasets\ESD\0016\Happy\0016_000777.wav
Anger,Datasets\ESD\0018\Angry\0018_000624.wav
Surprise,Datasets\ESD\0012\Surprise\0012_001409.wav
Anger,Datasets\ESD\0011\Angry\0011_000501.wav
Surprise,Datasets\TESS\YAF_pleasant_surprised\YAF_bite_ps.wav
Fear,Datasets\TESS\OAF_Fear\OAF_numb_fear.wav
Sadness,Datasets\CREMA-D\1042_WSI_SAD_XX.wav
Anger,Datasets\TESS\YAF_angry\YAF_keen_angry.wav
Fear,Datasets\TESS\OAF_Fear\OAF_join_fear.wav
Happiness,Datasets\ESD\0013\Happy\0013_000874.wav
Happiness,Datasets\ESD\0018\Happy\0018_000761.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001564.wav
Anger,Datasets\CREMA-D\1025_TIE_ANG_XX.wav
Fear,Datasets\CREMA-D\1052_IEO_FEA_MD.wav
Happiness,Datasets\ESD\0017\Happy\0017_000717.wav
Surprise,Datasets\ESD\0011\Surprise\0011_001576.wav
Anger,Datasets\ESD\0017\Angry\0017_000630.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001542.wav
Anger,Datasets\ESD\0014\Angry\0014_000354.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000052.wav
Happiness,Datasets\ESD\0011\Happy\0011_000979.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001733.wav
Disgust,Datasets\RAVDESS\Actor_18\03-01-07-01-02-02-18.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000240.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-02-24-46-02-02-02.wav
Surprise,Datasets\ESD\0011\Surprise\0011_001512.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001600.wav
Disgust,Datasets\TESS\YAF_disgust\YAF_gas_disgust.wav
Happiness,Datasets\ESD\0016\Happy\0016_000747.wav
Happiness,Datasets\ESD\0011\Happy\0011_000721.wav
Anger,Datasets\ESD\0013\Angry\0013_000564.wav
Happiness,Datasets\ASVP\ASVP5\03-01-03-02-02-70-02-02-02.wav
Neutral,Datasets\SAVEE\JE\n14.wav
Anger,Datasets\RAVDESS\Actor_04\03-01-05-01-02-02-04.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-02-03-28-02-02-02.wav
Sadness,Datasets\ESD\0020\Sad\0020_001223.wav
Anger,Datasets\ESD\0018\Angry\0018_000611.wav
Surprise,Datasets\ESD\0018\Surprise\0018_001601.wav
Anger,Datasets\ESD\0012\Angry\0012_000375.wav
Anger,Datasets\JL\male2_angry_10b_1.wav
Happiness,Datasets\ESD\0016\Happy\0016_000892.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000082.wav
Sadness,Datasets\ESD\0018\Sad\0018_001258.wav
Happiness,Datasets\ESD\0018\Happy\0018_000953.wav
Neutral,Datasets\ESD\0011\Neutral\0011_000079.wav
Anger,Datasets\CREMA-D\1044_IEO_ANG_HI.wav
Disgust,Datasets\CREMA-D\1061_TSI_DIS_XX.wav
Surprise,Datasets\TESS\OAF_Pleasant_surprise\OAF_get_ps.wav
Fear,Datasets\TESS\YAF_fear\YAF_mill_fear.wav
Disgust,Datasets\CREMA-D\1018_IEO_DIS_MD.wav
Anger,Datasets\CREMA-D\1013_ITH_ANG_XX.wav
Sadness,Datasets\CREMA-D\1058_TIE_SAD_XX.wav
Anger,Datasets\ESD\0011\Angry\0011_000505.wav
Happiness,Datasets\ESD\0017\Happy\0017_000707.wav
Fear,Datasets\CREMA-D\1089_ITH_FEA_XX.wav
Surprise,Datasets\ESD\0011\Surprise\0011_001486.wav
Anger,Datasets\ASVP\ASVP5\03-01-05-01-06-41-02-01-02.wav
Anger,Datasets\ESD\0020\Angry\0020_000626.wav
Happiness,Datasets\RAVDESS-SONG\Actor_08\03-02-03-02-02-02-08.wav
Fear,Datasets\RAVDESS\Actor_12\03-01-06-02-01-02-12.wav
Surprise,Datasets\ESD\0018\Surprise\0018_001738.wav
Disgust,Datasets\CREMA-D\1044_IEO_DIS_HI.wav
Anger,Datasets\CREMA-D\1053_DFA_ANG_XX.wav
Happiness,Datasets\ASVP\ASVP5\03-01-03-01-33-60-02-02-02-03.wav
Sadness,Datasets\CREMA-D\1040_ITS_SAD_XX.wav
Fear,Datasets\CREMA-D\1069_ITH_FEA_XX.wav
Happiness,Datasets\ESD\0013\Happy\0013_000705.wav
Anger,Datasets\RAVDESS\Actor_07\03-01-05-01-02-01-07.wav
Disgust,Datasets\CREMA-D\1022_IWW_DIS_XX.wav
Sadness,Datasets\ESD\0019\Sad\0019_001195.wav
Sadness,Datasets\ASVP\ASVP5\03-01-04-01-29-54-02-02-02.wav
Fear,Datasets\CREMA-D\1052_TIE_FEA_XX.wav
Surprise,Datasets\ESD\0019\Surprise\0019_001686.wav
Anger,Datasets\ESD\0018\Angry\0018_000454.wav
Fear,Datasets\CREMA-D\1039_IWW_FEA_XX.wav
Sadness,Datasets\CREMA-D\1040_IEO_SAD_MD.wav
Happiness,Datasets\ESD\0017\Happy\0017_000813.wav
Neutral,Datasets\CREMA-D\1027_IWL_NEU_XX.wav
Happiness,Datasets\ESD\0016\Happy\0016_000838.wav
Happiness,Datasets\ESD\0013\Happy\0013_000808.wav
Sadness,Datasets\ESD\0019\Sad\0019_001318.wav
Disgust,Datasets\RAVDESS\Actor_01\03-01-07-01-02-01-01.wav
Anger,Datasets\ESD\0013\Angry\0013_000483.wav
Surprise,Datasets\TESS\YAF_pleasant_surprised\YAF_get_ps.wav
Anger,Datasets\ESD\0013\Angry\0013_000689.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001526.wav
Happiness,Datasets\CREMA-D\1008_TSI_HAP_XX.wav
Happiness,Datasets\ESD\0017\Happy\0017_000864.wav
Anger,Datasets\ESD\0019\Angry\0019_000382.wav
Disgust,Datasets\CREMA-D\1048_IEO_DIS_MD.wav
Fear,Datasets\CREMA-D\1026_TIE_FEA_XX.wav
Happiness,Datasets\ESD\0019\Happy\0019_000998.wav
Disgust,Datasets\TESS\OAF_disgust\OAF_chief_disgust.wav
Disgust,Datasets\CREMA-D\1056_TSI_DIS_XX.wav
Sadness,Datasets\ESD\0014\Sad\0014_001230.wav
Neutral,Datasets\JL\female1_neutral_5a_1.wav
Surprise,Datasets\ESD\0019\Surprise\0019_001569.wav
Surprise,Datasets\ESD\0018\Surprise\0018_001595.wav
Disgust,Datasets\CREMA-D\1063_TAI_DIS_XX.wav
Neutral,Datasets\ESD\0014\Neutral\0014_000080.wav
Fear,Datasets\TESS\OAF_Fear\OAF_whip_fear.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000082.wav
Happiness,Datasets\ESD\0015\Happy\0015_000770.wav
Neutral,Datasets\RAVDESS\Actor_01\03-01-02-01-01-02-01.wav
Sadness,Datasets\ESD\0014\Sad\0014_001395.wav
Happiness,Datasets\RAVDESS-SONG\Actor_09\03-02-03-01-02-02-09.wav
Disgust,Datasets\CREMA-D\1087_MTI_DIS_XX.wav
Neutral,Datasets\ESD\0016\Neutral\0016_000086.wav
Sadness,Datasets\CREMA-D\1083_IEO_SAD_LO.wav
Neutral,Datasets\ESD\0018\Neutral\0018_000007.wav
Fear,Datasets\CREMA-D\1080_TAI_FEA_XX.wav
Neutral,Datasets\ESD\0014\Neutral\0014_000032.wav
Fear,Datasets\RAVDESS-SONG\Actor_16\03-02-06-01-01-01-16.wav
Fear,Datasets\TESS\OAF_Fear\OAF_lose_fear.wav
Surprise,Datasets\ESD\0016\Surprise\0016_001537.wav
Neutral,Datasets\CREMA-D\1070_IEO_NEU_XX.wav
Neutral,Datasets\ESD\0014\Neutral\0014_000015.wav
Neutral,Datasets\CREMA-D\1041_DFA_NEU_XX.wav
Anger,Datasets\CREMA-D\1029_TIE_ANG_XX.wav
Fear,Datasets\CREMA-D\1057_IWL_FEA_XX.wav
Happiness,Datasets\ESD\0013\Happy\0013_000809.wav
Surprise,Datasets\ESD\0019\Surprise\0019_001663.wav
Neutral,Datasets\ESD\0014\Neutral\0014_000130.wav
Fear,Datasets\TESS\OAF_Fear\OAF_limb_fear.wav
Sadness,Datasets\ESD\0012\Sad\0012_001339.wav
Neutral,Datasets\ESD\0017\Neutral\0017_000070.wav
Anger,Datasets\ESD\0015\Angry\0015_000585.wav
Neutral,Datasets\CREMA-D\1018_TSI_NEU_XX.wav
Sadness,Datasets\CREMA-D\1087_IWW_SAD_XX.wav
Fear,Datasets\RAVDESS-SONG\Actor_20\03-02-06-02-01-01-20.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001619.wav
Sadness,Datasets\CREMA-D\1028_TSI_SAD_XX.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001500.wav
Disgust,Datasets\CREMA-D\1051_DFA_DIS_XX.wav
Neutral,Datasets\RAVDESS\Actor_06\03-01-02-01-02-01-06.wav
Sadness,Datasets\ESD\0011\Sad\0011_001294.wav
Happiness,Datasets\ESD\0020\Happy\0020_000737.wav
Disgust,Datasets\TESS\YAF_disgust\YAF_puff_disgust.wav
Fear,Datasets\ASVP\ASVP5\03-01-06-02-02-86-02-02.wav
Happiness,Datasets\SAVEE\JK\h08.wav
Neutral,Datasets\ESD\0018\Neutral\0018_000350.wav
Fear,Datasets\ASVP\ASVP5\03-01-06-02-33-57-02-02-02.wav
Neutral,Datasets\ESD\0015\Neutral\0015_000017.wav
Anger,Datasets\ESD\0018\Angry\0018_000455.wav
Happiness,Datasets\ESD\0013\Happy\0013_001020.wav
Neutral,Datasets\ESD\0015\Neutral\0015_000070.wav
Happiness,Datasets\CREMA-D\1089_IEO_HAP_MD.wav
Disgust,Datasets\SAVEE\KL\d03.wav
Neutral,Datasets\CREMA-D\1036_DFA_NEU_XX.wav
Happiness,Datasets\RAVDESS-SONG\Actor_11\03-02-03-02-01-02-11.wav
Happiness,Datasets\ESD\0014\Happy\0014_000871.wav
Fear,Datasets\CREMA-D\1080_TIE_FEA_XX.wav
Fear,Datasets\CREMA-D\1083_TSI_FEA_XX.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001477.wav
Happiness,Datasets\CREMA-D\1021_IOM_HAP_XX.wav
Happiness,Datasets\RAVDESS\Actor_13\03-01-03-01-02-01-13.wav
Neutral,Datasets\CREMA-D\1032_DFA_NEU_XX.wav
Sadness,Datasets\ESD\0012\Sad\0012_001243.wav
Happiness,Datasets\ESD\0016\Happy\0016_000925.wav
Disgust,Datasets\TESS\YAF_disgust\YAF_shack_disgust.wav
Surprise,Datasets\TESS\OAF_Pleasant_surprise\OAF_rain_ps.wav
Disgust,Datasets\RAVDESS\Actor_07\03-01-07-01-02-02-07.wav
Fear,Datasets\TESS\YAF_fear\YAF_goose_fear.wav
Surprise,Datasets\ESD\0020\Surprise\0020_001719.wav
Neutral,Datasets\ESD\0019\Neutral\0019_000290.wav
Sadness,Datasets\ESD\0019\Sad\0019_001056.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001555.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000195.wav
Anger,Datasets\CREMA-D\1029_IWW_ANG_XX.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001502.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001724.wav
Surprise,Datasets\TESS\YAF_pleasant_surprised\YAF_mop_ps.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001739.wav
Surprise,Datasets\ESD\0012\Surprise\0012_001432.wav
Sadness,Datasets\ESD\0014\Sad\0014_001368.wav
Sadness,Datasets\CREMA-D\1045_ITS_SAD_XX.wav
Disgust,Datasets\TESS\YAF_disgust\YAF_sell_disgust.wav
Fear,Datasets\CREMA-D\1010_IEO_FEA_MD.wav
Sadness,Datasets\ESD\0016\Sad\0016_001301.wav
Sadness,Datasets\ESD\0012\Sad\0012_001174.wav
Anger,Datasets\JL\female2_angry_4a_2.wav
Sadness,Datasets\ESD\0019\Sad\0019_001249.wav
Neutral,Datasets\TESS\OAF_neutral\OAF_take_neutral.wav
Anger,Datasets\ESD\0016\Angry\0016_000466.wav
Happiness,Datasets\CREMA-D\1038_ITS_HAP_XX.wav
Anger,Datasets\ESD\0018\Angry\0018_000403.wav
Sadness,Datasets\ESD\0020\Sad\0020_001343.wav
Disgust,Datasets\CREMA-D\1079_IEO_DIS_MD.wav
Anger,Datasets\ESD\0019\Angry\0019_000524.wav
Anger,Datasets\CREMA-D\1010_IEO_ANG_LO.wav
Fear,Datasets\RAVDESS\Actor_04\03-01-06-02-01-02-04.wav
Anger,Datasets\ESD\0017\Angry\0017_000549.wav
Anger,Datasets\ESD\0015\Angry\0015_000476.wav
Anger,Datasets\CREMA-D\1056_IEO_ANG_HI.wav
Fear,Datasets\CREMA-D\1054_IWL_FEA_XX.wav
Neutral,Datasets\ESD\0018\Neutral\0018_000107.wav
Anger,Datasets\TESS\OAF_angry\OAF_death_angry.wav
Disgust,Datasets\CREMA-D\1086_WSI_DIS_XX.wav
Disgust,Datasets\ASVP\ASVP5\03-01-07-01-09-76-02-02-02.wav
Neutral,Datasets\JL\male1_neutral_5a_2.wav
Sadness,Datasets\RAVDESS\Actor_12\03-01-04-01-02-01-12.wav
Anger,Datasets\ESD\0013\Angry\0013_000477.wav
Anger,Datasets\ASVP\ASVP5\03-01-05-02-18-46-02-02-02.wav
Fear,Datasets\CREMA-D\1051_TSI_FEA_XX.wav
Sadness,Datasets\ESD\0018\Sad\0018_001183.wav
Disgust,Datasets\CREMA-D\1066_ITH_DIS_XX.wav
Disgust,Datasets\CREMA-D\1055_MTI_DIS_XX.wav
Neutral,Datasets\ESD\0011\Neutral\0011_000113.wav
Happiness,Datasets\RAVDESS\Actor_03\03-01-03-02-02-02-03.wav
Fear,Datasets\CREMA-D\1085_ITH_FEA_XX.wav
Surprise,Datasets\ESD\0012\Surprise\0012_001721.wav
Fear,Datasets\CREMA-D\1015_ITH_FEA_XX.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001568.wav
Fear,Datasets\CREMA-D\1071_IEO_FEA_HI.wav
Disgust,Datasets\CREMA-D\1051_MTI_DIS_XX.wav
Fear,Datasets\CREMA-D\1004_TIE_FEA_XX.wav
Fear,Datasets\CREMA-D\1036_TAI_FEA_XX.wav
Surprise,Datasets\RAVDESS\Actor_13\03-01-08-01-02-01-13.wav
Anger,Datasets\ESD\0014\Angry\0014_000564.wav
Disgust,Datasets\CREMA-D\1017_TSI_DIS_XX.wav
Disgust,Datasets\CREMA-D\1072_TIE_DIS_XX.wav
Sadness,Datasets\ESD\0017\Sad\0017_001381.wav
Fear,Datasets\ASVP\ASVP6\03-01-06-01-53-122-02-02-02.wav
Neutral,Datasets\ESD\0015\Neutral\0015_000258.wav
Disgust,Datasets\CREMA-D\1030_MTI_DIS_XX.wav
Anger,Datasets\CREMA-D\1079_TSI_ANG_XX.wav
Happiness,Datasets\ESD\0020\Happy\0020_001036.wav
Disgust,Datasets\CREMA-D\1088_ITS_DIS_XX.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001737.wav
Sadness,Datasets\CREMA-D\1081_ITH_SAD_XX.wav
Surprise,Datasets\ESD\0012\Surprise\0012_001526.wav
Fear,Datasets\RAVDESS-SONG\Actor_09\03-02-06-02-02-01-09.wav
Anger,Datasets\ESD\0018\Angry\0018_000432.wav
